comm_id,comm_name,comm_age,sso,migration,exec_spsr,acct_geo,plat_tier,gold_tier,silv_tier,#_lang,#_features,enabled,case_count
a0C610000038PzU,284,0.16,0,1,1,EMEA,1,0,0,1,6,1,0
a0C00000002hBrQ,285,2.56,0,0,1,EMEA,0,1,0,1,5,1,53
a0C00000000DgPb,286,7.98,1,0,1,EMEA,0,1,0,11,7,1,955
a0C00000003Mxbv,287,1.32,0,0,1,APAC,0,1,0,1,3,1,30
a0C00000001tgXl,288,3.72,1,0,1,NA,0,1,0,1,7,1,440
a0C00000000Dg3k,289,8,0,0,1,APAC,0,1,0,1,1,1,170
a0C00000002nstv,290,2.23,0,0,1,NA,0,1,0,1,0,1,5
a0C00000003NlFC,291,0.39,0,1,1,EMEA,1,0,0,1,4,1,18
a0C00000002wcCr,292,1.74,0,0,1,NA,0,1,0,1,0,1,22
a0C00000003MvI9,293,1.33,0,0,1,EMEA,1,0,0,1,0,1,13
a0C00000003NEWB,294,1.07,1,0,1,NA,1,0,0,1,3,1,15
a0C00000003NfIT,295,0.58,0,1,1,EMEA,0,1,0,1,1,1,20
a0C00000002p7Eh,296,2.06,0,0,1,NA,1,0,0,1,7,1,104
a0C00000003NGYs,297,1.05,0,0,1,NA,0,1,0,1,0,1,2
a0C00000001M9Vp,298,4.22,0,0,1,NA,1,0,0,1,5,1,14
a0C000000026KC0,299,3.39,0,0,1,NA,1,0,0,1,5,1,54
a0C00000003N3KY,300,1.19,0,1,1,APAC,0,1,0,1,2,1,19
a0C00000001LloT,301,4.23,0,0,1,NA,1,0,0,1,4,1,22
a0C00000000DgNV,302,7.98,1,0,1,NA,0,1,0,1,1,0,109
a0C00000003Mxbq,303,1.32,0,0,1,APAC,0,1,0,1,0,1,3
a0C00000000Dh8M,304,7.9,1,0,1,NA,0,0,0,1,1,0,132
a0C00000000DgDL,305,8,1,0,1,NA,0,1,0,3,3,1,175
a0C00000001tgXq,306,3.72,1,0,1,NA,0,1,0,1,7,1,30
a0C00000003Neuz,307,0.59,0,0,1,APAC,0,1,0,1,0,1,4
